Event name,Start Date,Start Time,End Date,End Time
imayetPyramidsReview,16 November 2020,08:30,16 November 2020,09:00
New Week,16 November 2020,09:00,16 November 2020,10:00
Prayers / Lunch,16 November 2020,12:15,16 November 2020,13:45
New Week,17 November 2020,09:00,17 November 2020,10:00
Prayers / Lunch,17 November 2020,12:15,17 November 2020,13:45
New Week,18 November 2020,09:00,18 November 2020,10:00
Prayers / Lunch,18 November 2020,12:15,18 November 2020,13:45
New Week,19 November 2020,09:00,19 November 2020,10:00
Prayers / Lunch,19 November 2020,12:15,19 November 2020,13:45
New Week,20 November 2020,09:00,20 November 2020,10:00
Prayers,20 November 2020,11:45,20 November 2020,14:00
Prayers / Lunch,20 November 2020,12:15,20 November 2020,13:45
New Week,21 November 2020,09:00,21 November 2020,10:00
New Week,22 November 2020,09:00,22 November 2020,10:00
New Week,23 November 2020,09:00,23 November 2020,10:00
Prayers / Lunch,23 November 2020,12:15,23 November 2020,13:45
